dataset,trial,epsilon,alpha,n,model_error,num_policies,oracle_grid_budget_saved,oracle_grid_error,method,m,radius,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated
ImageNet,61,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0285,0.0488764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,61,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.1250838041305542,0.0377,0.04993873415340408,0.03704,0.62946,0.37054,0.0
ImageNet,62,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0292,0.0495764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,62,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12075400352478027,0.0376,0.049838734153404084,0.03622,0.6251,0.3749,0.0
ImageNet,63,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0296,0.0499764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,63,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12464821338653564,0.0377,0.04993873415340408,0.03694,0.62902,0.37098,0.0
ImageNet,64,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0289,0.0492764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,64,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12718433141708374,0.0377,0.04993873415340408,0.03756,0.63194,0.36806000000000005,0.0
ImageNet,65,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.075,0.0292,0.0495764569674848,0.02572,0.56976,0.43023999999999996,0.0
ImageNet,65,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.11866503953933716,0.0377,0.04993873415340408,0.0357,0.62294,0.37705999999999995,0.0
