dataset,trial,epsilon,alpha,n,num_policies,oracle_lp_saved,oracle_lp_error,method,m,radius,alpha_used,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated,chosen_source
ImageNetV2,111,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.4347,0.0695,0.09986807309541526,0.0785,0.3727,0.6273,0.0,B
ImageNetV2,112,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.115,0.054,0.09956314291989524,0.0489,0.4777,0.5223,0.0,
ImageNetV2,112,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.3912,0.0725,0.09986664152555987,0.0755,0.3517,0.6483,0.0,
ImageNetV2,112,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.36329999999999996,0.0725,0.09986664152555987,0.0637,0.3455,0.6545000000000001,0.0,
ImageNetV2,112,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.3813,0.0695,0.09986807309541526,0.073,0.3477,0.6523,0.0,A
ImageNetV2,113,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.155,0.0515,0.09706314291989523,0.0615,0.5177,0.48229999999999995,0.0,
ImageNetV2,113,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.40269999999999995,0.0725,0.09986664152555987,0.0777,0.356,0.644,0.0,
ImageNetV2,113,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.46619999999999995,0.0725,0.09986664152555987,0.0854,0.3844,0.6155999999999999,0.0,
ImageNetV2,113,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.44410000000000005,0.0695,0.09986807309541526,0.081,0.3765,0.6234999999999999,0.0,B
ImageNetV2,114,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.13,0.0525,0.09806314291989524,0.0535,0.4936,0.5064,0.0,
ImageNetV2,114,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.45320000000000005,0.0725,0.09986664152555987,0.0859,0.3722,0.6278,0.0,
ImageNetV2,114,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.3944,0.0725,0.09986664152555987,0.0703,0.3581,0.6419,0.0,
ImageNetV2,114,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.44730000000000003,0.0695,0.09986807309541526,0.085,0.3702,0.6298,0.0,A
ImageNetV2,115,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.13,0.053,0.09856314291989524,0.0535,0.4936,0.5064,0.0,
ImageNetV2,115,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.3198,0.0725,0.09986664152555987,0.061,0.3245,0.6755,0.0,
ImageNetV2,115,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.4014,0.0725,0.09986664152555987,0.072,0.3612,0.6388,0.0,
ImageNetV2,115,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.3931,0.0685,0.09886807309541526,0.0699,0.3572,0.6428,0.0,B
ImageNetV2,116,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.15,0.054,0.09956314291989524,0.0599,0.5139,0.4861,0.0,
ImageNetV2,116,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.3973,0.0725,0.09986664152555987,0.0769,0.354,0.646,0.0,
ImageNetV2,116,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.4272,0.0725,0.09986664152555987,0.0769,0.3702,0.6298,0.0,
